time,step,reward,terminated,truncated,fmu_status,fmu_error,failure_type,transition_valid,requested_u_tp,requested_u_battery,requested_caes_mode,requested_caes_magnitude,decoded_u_tp,decoded_u_battery,decoded_u_caes,rt_economic_cashflow_total,rt_economic_cashflow_delta,rt_economic_reward,rt_raw_total_cost,rt_normalized_cost,rt_cost_reference,rt_cost_reference_missing,rt_terminal_soc_bonus,rt_reward,rt_terminal_soc_l1_error,rt_terminal_soc_l1_full,rt_terminal_soc_l1_energy,rt_terminal_soc_l2_error,rt_terminal_soc_tolerance,rt_terminal_soc_satisfied,rt_soc_shaping_reward,rt_soc_shaping_potential,rt_soc_shaping_absolute,rt_soc_shaping_coef,rt_soc_recovery_scale,rt_soc_l1_prev,rt_market_settlement_enabled,rt_market_grid_cashflow,rt_market_grid_cost,rt_market_buy_cost,rt_market_sell_revenue,rt_market_energy_buy_mwh,rt_market_energy_sell_mwh,rt_market_buy_yuan_per_kwh,rt_market_sell_yuan_per_kwh,rt_p_grid_mw,rt_fmu_grid_cashflow_delta,rt_economic_cashflow_wind,rt_economic_cashflow_delta_wind,rt_raw_wind_cost,rt_economic_cashflow_pv,rt_economic_cashflow_delta_pv,rt_raw_pv_cost,rt_economic_cashflow_thermal,rt_economic_cashflow_delta_thermal,rt_raw_thermal_cost,rt_economic_cashflow_battery,rt_economic_cashflow_delta_battery,rt_raw_battery_cost,rt_economic_cashflow_caes,rt_economic_cashflow_delta_caes,rt_raw_caes_cost,rt_economic_cashflow_load,rt_economic_cashflow_delta_load,rt_raw_load_cost,rt_economic_cashflow_grid,rt_economic_cashflow_delta_grid,rt_raw_grid_cost,obs_battery_soc,obs_caes_gas_soc,obs_caes_hot_soc,obs_caes_cold_soc,obs_caes_gas_pressure,obs_caes_gas_temperature,obs_caes_hot_temperature,obs_caes_cold_temperature,obs_p_thermal,obs_p_battery,obs_p_caes,obs_p_grid,obs_p_wind_available,obs_p_wind_actual,obs_p_pv_available,obs_p_pv_actual,obs_p_load_actual,obs_p_curtailment,obs_p_unserved,u_tp_dynamic_low,u_tp_dynamic_high,u_battery_dynamic_low,u_battery_dynamic_high,caes_discharge_allowed,caes_idle_allowed,caes_charge_allowed,caes_locked_mode,caes_locked_steps_completed,caes_locked_steps_remaining
3600.0,0,0.24501488418240452,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,8580.213810000014,57160.43223750001,0.36514943353747387,-57160.43223750001,-0.36514943353747387,156539.83544146415,0.0,0.0,0.24501488418240452,0.023648533337612077,0.023648533337612077,0.023648533337612077,0.0005592531290201498,0.06,1.0,-0.12013454935506934,-0.11824266668806038,-0.0018918826670089662,5.0,1.0,0.0,1.0,10061.501287499997,-10061.501287499997,0.0,10061.501287499997,0.0,53.661340199999984,0.63457,0.1875,-53.661340199999984,-38518.71714,0.0,0.0,-0.0,0.0,0.0,-0.0,-59999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,107098.93095000001,107098.93095000001,-107098.93095000001,-38518.71714,10061.501287499997,-10061.501287499997,0.5,0.8263514637947083,0.5,0.5,8263514.5,272.8417053222656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-53661340.0,0.0,0.0,-0.0,-0.0,203661344.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,False,,0,0
7200.0,1,0.2991787424415639,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,18214.079790000025,58049.20965000002,0.37082707725029324,-58049.20965000002,-0.37082707725029324,156539.83544146415,0.0,0.0,0.2991787424415639,0.03738011840487987,0.03738011840487987,0.03738011840487987,0.0013972732519628387,0.06,1.0,-0.07164833480872936,-0.06865792533633897,-0.0029904094723903897,5.0,1.0,0.023648533337612077,1.0,16218.539549999998,-16218.539549999998,0.0,16218.539549999998,0.0,86.49887759999999,0.63457,0.1875,-86.49887759999999,-32196.804120000008,0.0,0.0,-0.0,0.0,0.0,-0.0,-119999.99999999999,-59999.99999999999,59999.99999999999,0.0,0.0,-0.0,0.0,0.0,-0.0,208929.60105,101830.67009999999,-101830.67009999999,-70715.52126000001,16218.539549999998,-16218.539549999998,0.5,0.8126198649406433,0.5,0.5,8126199.0,268.3078308105469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-86498880.0,0.0,0.0,-0.0,-0.0,236498880.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
10800.0,2,0.4075050191881779,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,24564.192030000042,70871.70538125007,0.45273910746987805,-70871.70538125007,-0.45273910746987805,156539.83544146415,0.0,0.0,0.4075050191881779,0.04569580320986211,0.04569580320986211,0.04569580320986211,0.002088106430994444,0.06,1.0,-0.045234088281700155,-0.04157842402491119,-0.0036556642567889684,5.0,1.0,0.03738011840487987,1.0,12622.266581249998,-12622.266581249998,0.0,12622.266581249998,0.0,67.31875509999999,0.28359,0.1875,-67.31875509999999,-51899.326560000045,0.0,0.0,-0.0,0.0,0.0,-0.0,-179999.99999999997,-59999.999999999985,59999.999999999985,0.0,0.0,-0.0,0.0,0.0,-0.0,327179.0398499999,118249.43879999989,-118249.43879999989,-122614.84782000005,12622.266581249998,-12622.266581249998,0.5,0.8043041825294495,0.5,0.5,8043042.0,265.5621643066406,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-67318752.0,0.0,0.0,-0.0,-0.0,217318752.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
14400.0,3,0.38243549701895996,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,32832.31652000005,64148.80195625003,0.4097921897984718,-64148.80195625003,-0.4097921897984718,156539.83544146415,0.0,0.0,0.38243549701895996,0.050361360005673705,0.050361360005673705,0.050361360005673705,0.002536266581621071,0.06,1.0,-0.027356692779511887,-0.023327783979057992,-0.004028908800453896,5.0,1.0,0.04569580320986211,1.0,15489.42440625,-15489.42440625,0.0,15489.42440625,0.0,82.6102635,0.28359,0.1875,-82.6102635,-40391.25306000002,0.0,0.0,-0.0,0.0,0.0,-0.0,-239999.99999999997,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,435838.4174000001,108659.37755000021,-108659.37755000021,-163006.10088000007,15489.42440625,-15489.42440625,0.5,0.7996386289596558,0.5,0.5,7996386.5,264.0216979980469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-82610264.0,0.0,0.0,-0.0,-0.0,232610256.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
18000.0,4,0.4332022717924292,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,39571.290170000095,70196.60786249992,0.44842648303887445,-70196.60786249992,-0.44842648303887445,156539.83544146415,0.0,0.0,0.4332022717924292,0.052565159699766495,0.052565159699766495,0.052565159699766495,0.002763096014261956,0.06,1.0,-0.015224211246445268,-0.011018998470463948,-0.00420521277598132,5.0,1.0,0.050361360005673705,1.0,13891.476112499999,-13891.476112499999,0.0,13891.476112499999,0.0,74.0878726,0.28359,0.1875,-74.0878726,-49566.158099999884,0.0,0.0,-0.0,0.0,0.0,-0.0,-299999.99999999994,-59999.99999999997,59999.99999999997,0.0,0.0,-0.0,0.0,0.0,-0.0,552143.5491499999,116305.13174999977,-116305.13174999977,-212572.25897999996,13891.476112499999,-13891.476112499999,0.5,0.7974348664283752,0.5,0.5,7974348.5,263.2940673828125,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-74087872.0,0.0,0.0,-0.0,-0.0,224087872.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
21600.0,5,0.4035647563424145,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,47162.50291000014,65005.75165625006,0.41526651329947284,-65005.75165625006,-0.41526651329947284,156539.83544146415,0.0,0.0,0.4035647563424145,0.05404085737320685,0.05404085737320685,0.05404085737320685,0.0029204142656312853,0.06,1.0,-0.011701756957058333,-0.007378488367201785,-0.004323268589856548,5.0,1.0,0.052565159699766495,1.0,12961.815356250001,-12961.815356250001,0.0,12961.815356250001,0.0,69.12968190000001,0.28359,0.1875,-69.12968190000001,-44452.72356000001,0.0,0.0,-0.0,0.0,0.0,-0.0,-359999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,664187.4854499993,112043.93629999948,-112043.93629999948,-257024.98253999997,12961.815356250001,-12961.815356250001,0.5,0.7959591150283813,0.5,0.5,7959591.5,262.80682373046875,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-69129680.0,0.0,0.0,-0.0,-0.0,219129680.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
25200.0,6,0.3580858685128746,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,57359.16512213951,57985.30989744945,0.3704188760255356,-57985.30989744945,-0.3704188760255356,156539.83544146415,0.0,0.0,0.3580858685128746,0.05561757763360142,0.05561757763360142,0.05561757763360142,0.0030933149418296813,0.06,1.0,-0.012333007512660967,-0.007883601301972853,-0.004449406210688114,5.0,1.0,0.05404085737320685,1.0,9927.347806120359,-9927.347806120359,0.0,9927.347806120359,0.0,52.94585496597525,0.63457,0.1875,-52.94585496597525,-37861.299879189726,0.0,0.0,-0.0,-1506.8788586709795,-1506.8788586709795,1506.8788586709795,-419999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,773752.326399999,109564.84094999963,-109564.84094999963,-294886.2824191897,9927.347806120359,-9927.347806120359,0.5,0.7943823933601379,0.5,0.5,7943824.0,262.2862243652344,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,-52945856.0,0.0,0.0,-13398437.0,-13398437.0,216344288.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
28800.0,7,0.22295906129552712,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,77369.10443103759,35638.64853271906,0.2276650440586775,-35638.64853271906,-0.2276650440586775,156539.83544146415,0.0,0.0,0.22295906129552712,0.05566808482896801,0.05566808482896801,0.05566808482896801,0.0030989356685251785,0.06,1.0,-0.004705982763150387,-0.00025253597683294604,-0.004453446786317441,5.0,1.0,0.05561757763360142,1.0,-4207.504803438167,4207.504803438167,4207.504803438167,0.0,4.269194666367173,0.0,0.98555,0.1875,4.269194666367173,-19836.21402725915,-17.53094653597131,-17.53094653597131,17.53094653597131,-9815.340575977785,-8308.461717306805,8308.461717306805,-479999.99999999994,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,881924.4723999985,108172.14599999948,-108172.14599999948,-314722.49644644884,-4207.504803438167,4207.504803438167,0.5,0.7943319082260132,0.5,0.5,7943319.0,262.2695617675781,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,4269194.5,-2162042.25,-2162042.25,-57259148.0,-57259148.0,205152000.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
32400.0,8,-0.1934749174345072,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,100502.80332618534,-31809.41211363271,-0.20320330619950974,31809.41211363271,0.20320330619950974,156539.83544146415,0.0,0.0,-0.1934749174345072,0.05287638491729085,0.05287638491729085,0.05287638491729085,0.0027959120819215037,0.06,1.0,0.009728388765002528,0.013958499558385795,-0.004230110793383268,5.0,1.0,0.05566808482896801,1.0,-51843.81629985883,51843.81629985883,51843.81629985883,0.0,52.60394328025856,0.0,0.98555,0.1875,52.60394328025856,3099.2947089216323,-3536.2840041798554,-3518.753057643884,3518.753057643884,-28838.181282107827,-19022.840706130042,19022.840706130042,-539999.9999999999,-59999.99999999994,59999.99999999994,0.0,0.0,-0.0,0.0,0.0,-0.0,984500.4703499989,102575.99795000046,-102575.99795000046,-311623.2017375272,-51843.81629985883,51843.81629985883,0.5,0.7971236109733582,0.5,0.5,7971236.0,263.1913146972656,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,52603944.0,-22277342.0,-22277342.0,-98847216.0,-98847216.0,218520624.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
36000.0,9,-0.28195348507045725,False,False,ok,,,True,1.0,0.0,1,0.0,1.0,0.0,0.0,119187.91715819252,-47118.83457367092,-0.3010021981995142,47118.83457367092,0.3010021981995142,156539.83544146415,0.0,0.0,-0.28195348507045725,0.048293939263267194,0.048293939263267194,0.048293939263267194,0.0023323045695641405,0.06,1.0,0.01904871312905692,0.022912228270118296,-0.0038635151410613758,5.0,1.0,0.05287638491729085,1.0,-58754.99130406313,58754.99130406313,58754.99130406313,0.0,92.5902442662955,0.0,0.63457,0.1875,92.5902442662955,7048.957101614971,-13586.902433676249,-10050.618429496393,10050.618429496393,-56411.71562221917,-27573.534340111342,27573.534340111342,-599999.9999999999,-60000.0,60000.0,0.0,0.0,-0.0,0.0,0.0,-0.0,1093760.7798499994,109260.30950000044,-109260.30950000044,-304574.24463591224,-58754.99130406313,58754.99130406313,0.5,0.801706075668335,0.5,0.5,8017060.5,264.7043151855469,473.1572265625,313.16363525390625,-150000000.0,0.0,0.0,92590248.0,-37318364.0,-37318364.0,-124143960.0,-124143960.0,218872080.0,-0.0,0.0,0.85,1.0,-1.0,1.0,True,True,True,,0,0
